I9_DX,I9_DX_desc,CCI,body_system
0010,CHOLERA D/T VIB CHOLERAE,NonChronic,Infectious and parasitic disease
0011,CHOLERA D/T VIB EL TOR,NonChronic,Infectious and parasitic disease
0019,CHOLERA NOS,NonChronic,Infectious and parasitic disease
0020,TYPHOID FEVER,NonChronic,Infectious and parasitic disease
0021,PARATYPHOID FEVER A,NonChronic,Infectious and parasitic disease
0022,PARATYPHOID FEVER B,NonChronic,Infectious and parasitic disease
0023,PARATYPHOID FEVER C,NonChronic,Infectious and parasitic disease
0029,PARATYPHOID FEVER NOS,NonChronic,Infectious and parasitic disease
0030,SALMONELLA ENTERITIS,NonChronic,Infectious and parasitic disease
0031,SALMONELLA SEPTICEMIA,NonChronic,Infectious and parasitic disease
00320,LOCAL SALMONELLA INF NOS,NonChronic,Infectious and parasitic disease
00321,SALMONELLA MENINGITIS,NonChronic,Infectious and parasitic disease
00322,SALMONELLA PNEUMONIA,NonChronic,Infectious and parasitic disease
00323,SALMONELLA ARTHRITIS,NonChronic,Infectious and parasitic disease
00324,SALMONELLA OSTEOMYELITIS,NonChronic,Infectious and parasitic disease
00329,LOCAL SALMONELLA INF NEC,NonChronic,Infectious and parasitic disease
0038,SALMONELLA INFECTION NEC,NonChronic,Infectious and parasitic disease
0039,SALMONELLA INFECTION NOS,NonChronic,Infectious and parasitic disease
0040,SHIGELLA DYSENTERIAE,NonChronic,Infectious and parasitic disease
0041,SHIGELLA FLEXNERI,NonChronic,Infectious and parasitic disease
0042,SHIGELLA BOYDII,NonChronic,Infectious and parasitic disease
0043,SHIGELLA SONNEI,NonChronic,Infectious and parasitic disease
0048,SHIGELLA INFECTION NEC,NonChronic,Infectious and parasitic disease
0049,SHIGELLOSIS NOS,NonChronic,Infectious and parasitic disease
0050,STAPH FOOD POISONING,NonChronic,Infectious and parasitic disease
0051,BOTULISM,NonChronic,Infectious and parasitic disease
0052,FOOD POIS D/T C. PERFRIN,NonChronic,Infectious and parasitic disease
0053,FOOD POIS: CLOSTRID NEC,NonChronic,Infectious and parasitic disease
0054,FOOD POIS: V. PARAHAEM,NonChronic,Infectious and parasitic disease
0058,BACT FOOD POISONING NEC  (End 1995),NonChronic,Infectious and parasitic disease
00581,FOOD POISONING VIBRIO (Begin 1995),NonChronic,Infectious and parasitic disease
00589,OTH BACT FOOD POISONING (Begin 1995),NonChronic,Infectious and parasitic disease
0059,FOOD POISONING NOS,NonChronic,Infectious and parasitic disease
0060,AC AMEBIASIS W/O ABSCESS,NonChronic,Infectious and parasitic disease
0061,CHR AMEBIASIS W/O ABSCES,NonChronic,Infectious and parasitic disease
0062,AMEBIC NONDYSENT COLITIS,NonChronic,Infectious and parasitic disease
0063,AMEBIC LIVER ABSCESS,NonChronic,Infectious and parasitic disease
0064,AMEBIC LUNG ABSCESS,NonChronic,Infectious and parasitic disease
0065,AMEBIC BRAIN ABSCESS,NonChronic,Infectious and parasitic disease
0066,AMEBIC SKIN ULCERATION,NonChronic,Infectious and parasitic disease
0068,AMEBIC INFECTION NEC,NonChronic,Infectious and parasitic disease
0069,AMEBIASIS NOS,NonChronic,Infectious and parasitic disease
0070,BALANTIDIASIS,NonChronic,Infectious and parasitic disease
0071,GIARDIASIS,NonChronic,Infectious and parasitic disease
0072,COCCIDIOSIS,NonChronic,Infectious and parasitic disease
0073,INTEST TRICHOMONIASIS,NonChronic,Infectious and parasitic disease
0074,OT PROTOZ INTEST DX CRYP (Begin 1997),NonChronic,Infectious and parasitic disease
0075,CYCLOSPORIASIS (Begin 2000),NonChronic,Infectious and parasitic disease
0078,PROTOZOAL INTEST DIS NEC,NonChronic,Infectious and parasitic disease
0079,PROTOZOAL INTEST DIS NOS,NonChronic,Infectious and parasitic disease
0080,E. COLI ENTERITIS (Begin 1980 End 1992),NonChronic,Infectious and parasitic disease
00800,E. COLI ENTERITIS-NOS (Begin 1992),NonChronic,Infectious and parasitic disease
00801,E. COLI ENTERITIS-PATH (Begin 1992),NonChronic,Infectious and parasitic disease
00802,E. COLI ENTERITIS-TOX (Begin 1992),NonChronic,Infectious and parasitic disease
00803,E. COLI ENTERITIS-INVAS (Begin 1992),NonChronic,Infectious and parasitic disease
