CCS,CCS_label,CCS_Level
DX1,Tuberculosis,main
DX-1,Infectious and parasitic diseases,lvl1
DX-1.1,Bacterial infection,lvl2
DX2,Septicemia (except in labor),main
DX3,Bacterial infection; unspecified site,main
DX4,Mycoses,main
DX-1.2,Mycoses [4.],lvl2
DX5,HIV infection,main
DX-1.3,Viral infection,lvl2
DX6,Hepatitis,main
DX7,Viral infection,main
DX8,Other infections; including parasitic,main
DX-1.4,Other infections; including parasitic [8.],lvl2
DX9,Sexually transmitted infections (not HIV or hepatitis),main
DX10,Immunizations and screening for infectious disease,main
DX-1.5,Immunizations and screening for infectious disease [10.],lvl2
DX11,Cancer of head and neck,main
DX-2,Neoplasms,lvl1
DX-2.11,Cancer; other primary,lvl2
DX12,Cancer of esophagus,main
DX-2.2,Other gastrointestinal cancer,lvl2
DX13,Cancer of stomach,main
DX14,Cancer of colon,main
DX-2.1,Colorectal cancer,lvl2
DX15,Cancer of rectum and anus,main
DX16,Cancer of liver and intrahepatic bile duct,main
DX17,Cancer of pancreas,main
DX18,Cancer of other GI organs; peritoneum,main
DX19,Cancer of bronchus; lung,main
DX-2.3,Cancer of bronchus; lung [19.],lvl2
DX20,Cancer; other respiratory and intrathoracic,main
DX21,Cancer of bone and connective tissue,main
DX22,Melanomas of skin,main
DX-2.4,Cancer of skin,lvl2
DX23,Other non-epithelial cancer of skin,main
DX24,Cancer of breast,main
DX-2.5,Cancer of breast [24.],lvl2
DX25,Cancer of uterus,main
DX-2.6,Cancer of uterus and cervix,lvl2
DX26,Cancer of cervix,main
DX27,Cancer of ovary,main
DX-2.7,Cancer of ovary and other female genital organs,lvl2
DX28,Cancer of other female genital organs,main
DX29,Cancer of prostate,main
DX-2.8,Cancer of male genital organs,lvl2
DX30,Cancer of testis,main
DX31,Cancer of other male genital organs,main
DX32,Cancer of bladder,main
DX-2.9,Cancer of urinary organs,lvl2
DX33,Cancer of kidney and renal pelvis,main
DX34,Cancer of other urinary organs,main
DX35,Cancer of brain and nervous system,main
DX36,Cancer of thyroid,main
DX37,Hodgkin`s disease,main
DX-2.10,Cancer of lymphatic and hematopoietic tissue,lvl2
DX38,Non-Hodgkin`s lymphoma,main
DX39,Leukemias,main
DX40,Multiple myeloma,main
DX41,Cancer; other and unspecified primary,main
DX42,Secondary malignancies,main
DX-2.12,Secondary malignancies [42.],lvl2
DX43,Malignant neoplasm without specification of site,main
DX-2.13,Malignant neoplasm without specification of site [43.],lvl2
DX44,Neoplasms of unspecified nature or uncertain behavior,main
DX-2.14,Neoplasms of unspecified nature or uncertain behavior [44.],lvl2
DX45,Maintenance chemotherapy; radiotherapy,main
DX-2.15,Maintenance chemotherapy; radiotherapy [45.],lvl2
DX46,Benign neoplasm of uterus,main
DX-2.16,Benign neoplasms,lvl2
DX47,Other and unspecified benign neoplasm,main
DX48,Thyroid disorders,main
DX-3,Endocrine; nutritional; and metabolic diseases and immunity disorders,lvl1
DX-3.1,Thyroid disorders [48.],lvl2
DX49,Diabetes mellitus without complication,main
DX-3.2,Diabetes mellitus without complication [49.],lvl2
DX50,Diabetes mellitus with complications,main
DX-3.3,Diabetes mellitus with complications [50.],lvl2
DX51,Other endocrine disorders,main
DX-3.4,Other endocrine disorders [51.],lvl2
DX52,Nutritional deficiencies,main
DX-3.5,Nutritional deficiencies [52.],lvl2
DX53,Disorders of lipid metabolism,main
DX-3.6,Disorders of lipid metabolism [53.],lvl2
DX54,Gout and other crystal arthropathies,main
DX-3.7,Gout and other crystal arthropathies [54.],lvl2
DX55,Fluid and electrolyte disorders,main
DX-3.8,Fluid and electrolyte disorders [55.],lvl2
DX56,Cystic fibrosis,main
DX-3.9,Cystic fibrosis [56.],lvl2
DX57,Immunity disorders,main
DX-3.10,Immunity disorders [57.],lvl2
DX58,Other nutritional; endocrine; and metabolic disorders,main
DX-3.11,Other nutritional; endocrine; and metabolic disorders [58.],lvl2
DX59,Deficiency and other anemia,main
DX-4,Diseases of the blood and blood-forming organs,lvl1
DX-4.1,Anemia,lvl2
DX60,Acute posthemorrhagic anemia,main
DX61,Sickle cell anemia,main
DX62,Coagulation and hemorrhagic disorders,main
DX-4.2,Coagulation and hemorrhagic disorders [62.],lvl2
DX63,Diseases of white blood cells,main
DX-4.3,Diseases of white blood cells [63.],lvl2
DX64,Other hematologic conditions,main
DX-4.4,Other hematologic conditions [64.],lvl2
DX76,Meningitis (except that caused by tuberculosis or sexually transmitted disease),main
DX-6,Diseases of the nervous system and sense organs,lvl1
DX-6.1,Central nervous system infection,lvl2
DX77,Encephalitis (except that caused by tuberculosis or sexually transmitted disease),main
DX78,Other CNS infection and poliomyelitis,main
DX79,Parkinson`s disease,main
DX-6.2,Hereditary and degenerative nervous system conditions,lvl2
DX80,Multiple sclerosis,main
DX81,Other hereditary and degenerative nervous system conditions,main
DX82,Paralysis,main
DX-6.3,Paralysis [82.],lvl2
DX83,Epilepsy; convulsions,main
DX-6.4,Epilepsy; convulsions [83.],lvl2
DX84,Headache; including migraine,main
DX-6.5,Headache; including migraine [84.],lvl2
DX85,Coma; stupor; and brain damage,main
DX-6.6,Coma; stupor; and brain damage [85.],lvl2
DX86,Cataract,main
DX-6.7,Eye disorders,lvl2
DX87,Retinal detachments; defects; vascular occlusion; and retinopathy,main
DX88,Glaucoma,main
DX89,Blindness and vision defects,main
DX90,Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease),main
DX91,Other eye disorders,main
DX92,Otitis media and related conditions,main
DX-6.8,Ear conditions,lvl2
DX93,Conditions associated with dizziness or vertigo,main
DX94,Other ear and sense organ disorders,main
DX95,Other nervous system disorders,main
DX-6.9,Other nervous system disorders [95.],lvl2
DX96,Heart valve disorders,main
DX-7,Diseases of the circulatory system,lvl1
DX-7.2,Diseases of the heart,lvl2
DX97,Peri-; endo-; and myocarditis; cardiomyopathy (except that caused by tuberculosis or sexually transmitted disease),main
DX98,Essential hypertension,main
DX-7.1,Hypertension,lvl2
DX99,Hypertension with complications and secondary hypertension,main
DX100,Acute myocardial infarction,main
DX101,Coronary atherosclerosis and other heart disease,main
