I10_DX,CCS,CCS_lvl1,CCS_lvl2
A150,DX1,DX-1,DX-1.1
A154,DX1,DX-1,DX-1.1
A155,DX1,DX-1,DX-1.1
A156,DX1,DX-1,DX-1.1
A157,DX1,DX-1,DX-1.1
A158,DX1,DX-1,DX-1.1
A159,DX1,DX-1,DX-1.1
A170,DX1,DX-1,DX-1.1
A171,DX1,DX-1,DX-1.1
A1781,DX1,DX-1,DX-1.1
A1782,DX1,DX-1,DX-1.1
A1783,DX1,DX-1,DX-1.1
A1789,DX1,DX-1,DX-1.1
A179,DX1,DX-1,DX-1.1
A1801,DX1,DX-1,DX-1.1
A1802,DX1,DX-1,DX-1.1
A1803,DX1,DX-1,DX-1.1
A1809,DX1,DX-1,DX-1.1
A1810,DX1,DX-1,DX-1.1
A1811,DX1,DX-1,DX-1.1
A1812,DX1,DX-1,DX-1.1
A1813,DX1,DX-1,DX-1.1
A1814,DX1,DX-1,DX-1.1
A1815,DX1,DX-1,DX-1.1
A1816,DX1,DX-1,DX-1.1
A1817,DX1,DX-1,DX-1.1
A1818,DX1,DX-1,DX-1.1
A182,DX1,DX-1,DX-1.1
A1831,DX1,DX-1,DX-1.1
A1832,DX1,DX-1,DX-1.1
A1839,DX1,DX-1,DX-1.1
A184,DX1,DX-1,DX-1.1
A1850,DX1,DX-1,DX-1.1
A1851,DX1,DX-1,DX-1.1
A1852,DX1,DX-1,DX-1.1
A1853,DX1,DX-1,DX-1.1
A1854,DX1,DX-1,DX-1.1
A1859,DX1,DX-1,DX-1.1
A186,DX1,DX-1,DX-1.1
A187,DX1,DX-1,DX-1.1
A1881,DX1,DX-1,DX-1.1
A1882,DX1,DX-1,DX-1.1
A1883,DX1,DX-1,DX-1.1
A1884,DX1,DX-1,DX-1.1
A1885,DX1,DX-1,DX-1.1
A1889,DX1,DX-1,DX-1.1
A190,DX1,DX-1,DX-1.1
A191,DX1,DX-1,DX-1.1
A192,DX1,DX-1,DX-1.1
A198,DX1,DX-1,DX-1.1
A199,DX1,DX-1,DX-1.1
B900,DX1,DX-1,DX-1.1
B901,DX1,DX-1,DX-1.1
B902,DX1,DX-1,DX-1.1
B908,DX1,DX-1,DX-1.1
B909,DX1,DX-1,DX-1.1
J65,DX1,DX-1,DX-1.1
Z8611,DX1,DX-1,DX-1.1
A021,DX2,DX-1,DX-1.1
A207,DX2,DX-1,DX-1.1
A227,DX2,DX-1,DX-1.1
A267,DX2,DX-1,DX-1.1
A327,DX2,DX-1,DX-1.1
A392,DX2,DX-1,DX-1.1
A393,DX2,DX-1,DX-1.1
A394,DX2,DX-1,DX-1.1
A400,DX2,DX-1,DX-1.1
A401,DX2,DX-1,DX-1.1
A403,DX2,DX-1,DX-1.1
A408,DX2,DX-1,DX-1.1
A409,DX2,DX-1,DX-1.1
A4101,DX2,DX-1,DX-1.1
A4102,DX2,DX-1,DX-1.1
A411,DX2,DX-1,DX-1.1
A412,DX2,DX-1,DX-1.1
A413,DX2,DX-1,DX-1.1
A414,DX2,DX-1,DX-1.1
A4150,DX2,DX-1,DX-1.1
A4151,DX2,DX-1,DX-1.1
A4152,DX2,DX-1,DX-1.1
A4153,DX2,DX-1,DX-1.1
A4159,DX2,DX-1,DX-1.1
A4181,DX2,DX-1,DX-1.1
A4189,DX2,DX-1,DX-1.1
A419,DX2,DX-1,DX-1.1
A427,DX2,DX-1,DX-1.1
A5486,DX2,DX-1,DX-1.1
B007,DX2,DX-1,DX-1.1
B377,DX2,DX-1,DX-1.1
I76,DX2,DX-1,DX-1.1
P360,DX2,DX-1,DX-1.1
P3610,DX2,DX-1,DX-1.1
P3619,DX2,DX-1,DX-1.1
P362,DX2,DX-1,DX-1.1
P3630,DX2,DX-1,DX-1.1
P3639,DX2,DX-1,DX-1.1
P364,DX2,DX-1,DX-1.1
P365,DX2,DX-1,DX-1.1
P368,DX2,DX-1,DX-1.1
P369,DX2,DX-1,DX-1.1
R6520,DX2,DX-1,DX-1.1
A0102,DX3,DX-1,DX-1.1
A200,DX3,DX-1,DX-1.1
A208,DX3,DX-1,DX-1.1
A209,DX3,DX-1,DX-1.1
A217,DX3,DX-1,DX-1.1
A218,DX3,DX-1,DX-1.1
A219,DX3,DX-1,DX-1.1
A228,DX3,DX-1,DX-1.1
A229,DX3,DX-1,DX-1.1
A230,DX3,DX-1,DX-1.1
A231,DX3,DX-1,DX-1.1
A232,DX3,DX-1,DX-1.1
A233,DX3,DX-1,DX-1.1
A238,DX3,DX-1,DX-1.1
A239,DX3,DX-1,DX-1.1
A240,DX3,DX-1,DX-1.1
A241,DX3,DX-1,DX-1.1
A242,DX3,DX-1,DX-1.1
A243,DX3,DX-1,DX-1.1
A249,DX3,DX-1,DX-1.1
A250,DX3,DX-1,DX-1.1
A251,DX3,DX-1,DX-1.1
A259,DX3,DX-1,DX-1.1
A260,DX3,DX-1,DX-1.1
A268,DX3,DX-1,DX-1.1
A269,DX3,DX-1,DX-1.1
A2789,DX3,DX-1,DX-1.1
A280,DX3,DX-1,DX-1.1
A281,DX3,DX-1,DX-1.1
A282,DX3,DX-1,DX-1.1
A288,DX3,DX-1,DX-1.1
A289,DX3,DX-1,DX-1.1
A300,DX3,DX-1,DX-1.1
A301,DX3,DX-1,DX-1.1
A302,DX3,DX-1,DX-1.1
A303,DX3,DX-1,DX-1.1
A304,DX3,DX-1,DX-1.1
A305,DX3,DX-1,DX-1.1
A308,DX3,DX-1,DX-1.1
A309,DX3,DX-1,DX-1.1
A312,DX3,DX-1,DX-1.1
A318,DX3,DX-1,DX-1.1
A319,DX3,DX-1,DX-1.1
A320,DX3,DX-1,DX-1.1
A3281,DX3,DX-1,DX-1.1
A3282,DX3,DX-1,DX-1.1
A3289,DX3,DX-1,DX-1.1
A329,DX3,DX-1,DX-1.1
A35,DX3,DX-1,DX-1.1
A3682,DX3,DX-1,DX-1.1
A3683,DX3,DX-1,DX-1.1
A3684,DX3,DX-1,DX-1.1
A3689,DX3,DX-1,DX-1.1
A369,DX3,DX-1,DX-1.1
A3700,DX3,DX-1,DX-1.1
A3710,DX3,DX-1,DX-1.1
A3780,DX3,DX-1,DX-1.1
A3781,DX3,DX-1,DX-1.1
A3790,DX3,DX-1,DX-1.1
A3791,DX3,DX-1,DX-1.1
A380,DX3,DX-1,DX-1.1
A388,DX3,DX-1,DX-1.1
A389,DX3,DX-1,DX-1.1
A391,DX3,DX-1,DX-1.1
A3982,DX3,DX-1,DX-1.1
A3989,DX3,DX-1,DX-1.1
A399,DX3,DX-1,DX-1.1
A420,DX3,DX-1,DX-1.1
A421,DX3,DX-1,DX-1.1
A422,DX3,DX-1,DX-1.1
A4289,DX3,DX-1,DX-1.1
A429,DX3,DX-1,DX-1.1
A438,DX3,DX-1,DX-1.1
A439,DX3,DX-1,DX-1.1
A440,DX3,DX-1,DX-1.1
A441,DX3,DX-1,DX-1.1
A448,DX3,DX-1,DX-1.1
A449,DX3,DX-1,DX-1.1
A480,DX3,DX-1,DX-1.1
A482,DX3,DX-1,DX-1.1
A483,DX3,DX-1,DX-1.1
A484,DX3,DX-1,DX-1.1
A4852,DX3,DX-1,DX-1.1
A488,DX3,DX-1,DX-1.1
A4901,DX3,DX-1,DX-1.1
A4902,DX3,DX-1,DX-1.1
A491,DX3,DX-1,DX-1.1
A492,DX3,DX-1,DX-1.1
A493,DX3,DX-1,DX-1.1
A498,DX3,DX-1,DX-1.1
A499,DX3,DX-1,DX-1.1
A70,DX3,DX-1,DX-1.1
A7489,DX3,DX-1,DX-1.1
A749,DX3,DX-1,DX-1.1
A78,DX3,DX-1,DX-1.1
B471,DX3,DX-1,DX-1.1
B479,DX3,DX-1,DX-1.1
B950,DX3,DX-1,DX-1.1
B951,DX3,DX-1,DX-1.1
B952,DX3,DX-1,DX-1.1
B953,DX3,DX-1,DX-1.1
B954,DX3,DX-1,DX-1.1
B955,DX3,DX-1,DX-1.1
B9561,DX3,DX-1,DX-1.1
B9562,DX3,DX-1,DX-1.1
B957,DX3,DX-1,DX-1.1
B958,DX3,DX-1,DX-1.1
B960,DX3,DX-1,DX-1.1
B961,DX3,DX-1,DX-1.1
B9620,DX3,DX-1,DX-1.1
B9621,DX3,DX-1,DX-1.1
B9622,DX3,DX-1,DX-1.1
B9623,DX3,DX-1,DX-1.1
B9629,DX3,DX-1,DX-1.1
B963,DX3,DX-1,DX-1.1
B964,DX3,DX-1,DX-1.1
B965,DX3,DX-1,DX-1.1
B966,DX3,DX-1,DX-1.1
B967,DX3,DX-1,DX-1.1
B9681,DX3,DX-1,DX-1.1
B9682,DX3,DX-1,DX-1.1
B9689,DX3,DX-1,DX-1.1
I00,DX3,DX-1,DX-1.1
I029,DX3,DX-1,DX-1.1
K9081,DX3,DX-1,DX-1.1
R7881,DX3,DX-1,DX-1.1
Z1610,DX3,DX-1,DX-1.1
Z1611,DX3,DX-1,DX-1.1
Z1612,DX3,DX-1,DX-1.1
Z1619,DX3,DX-1,DX-1.1
Z1620,DX3,DX-1,DX-1.1
Z1621,DX3,DX-1,DX-1.1
Z1622,DX3,DX-1,DX-1.1
Z1623,DX3,DX-1,DX-1.1
Z1624,DX3,DX-1,DX-1.1
Z1629,DX3,DX-1,DX-1.1
Z1630,DX3,DX-1,DX-1.1
Z16341,DX3,DX-1,DX-1.1
Z16342,DX3,DX-1,DX-1.1
Z1635,DX3,DX-1,DX-1.1
Z1639,DX3,DX-1,DX-1.1
Z8614,DX3,DX-1,DX-1.1
B350,DX4,DX-1,DX-1.2
B351,DX4,DX-1,DX-1.2
B352,DX4,DX-1,DX-1.2
B353,DX4,DX-1,DX-1.2
B354,DX4,DX-1,DX-1.2
B355,DX4,DX-1,DX-1.2
B356,DX4,DX-1,DX-1.2
B358,DX4,DX-1,DX-1.2
B359,DX4,DX-1,DX-1.2
B360,DX4,DX-1,DX-1.2
B361,DX4,DX-1,DX-1.2
B362,DX4,DX-1,DX-1.2
B363,DX4,DX-1,DX-1.2
B368,DX4,DX-1,DX-1.2
B369,DX4,DX-1,DX-1.2
B370,DX4,DX-1,DX-1.2
B372,DX4,DX-1,DX-1.2
B373,DX4,DX-1,DX-1.2
B3741,DX4,DX-1,DX-1.2
B3742,DX4,DX-1,DX-1.2
B3749,DX4,DX-1,DX-1.2
B3781,DX4,DX-1,DX-1.2
B3782,DX4,DX-1,DX-1.2
B3783,DX4,DX-1,DX-1.2
B3784,DX4,DX-1,DX-1.2
B3789,DX4,DX-1,DX-1.2
B379,DX4,DX-1,DX-1.2
B383,DX4,DX-1,DX-1.2
B387,DX4,DX-1,DX-1.2
