I9_DX,CCS,CCS_lvl1,CCS_lvl2,CCS_lvl3,CCS_lvl4
01000,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01001,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01002,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01003,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01004,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01005,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01006,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01010,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01011,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01012,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01013,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01014,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01015,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01016,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01080,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01081,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01082,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01083,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01084,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01085,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01086,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01090,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01091,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01092,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01093,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01094,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01095,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01096,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01100,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01101,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01102,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01103,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01104,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01105,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01106,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01110,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01111,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01112,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01113,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01114,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01115,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01116,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01120,DX1,DX-1,DX-1.1,DX-1.1.1,NA
