CCS,CCS_label,CCS_Level
PR1,Incision and excision of CNS,main
PR-1,Operations on the nervous system,lvl1
PR-1.1,Incision and excision of CNS [1.],lvl2
PR10,Thyroidectomy; partial or complete,main
PR-2,Operations on the endocrine system,lvl1
PR-2.1,Thyroidectomy; partial or complete [10.],lvl2
PR100,Endoscopy and endoscopic biopsy of the urinary tract,main
PR-10,Operations on the urinary system,lvl1
PR-10.1,Cystoscopy and other transurethral procedures,lvl2
PR101,Transurethral excision; drainage; or removal urinary obstruction,main
PR102,Ureteral catheterization,main
PR103,Nephrotomy and nephrostomy,main
PR-10.2,Nephrotomy and nephrostomy [103.],lvl2
PR104,Nephrectomy; partial or complete,main
PR-10.3,Nephrectomy; partial or complete [104.],lvl2
PR105,Kidney transplant,main
PR-10.4,Kidney transplant [105.],lvl2
PR106,Genitourinary incontinence procedures,main
PR-10.5,Genitourinary incontinence procedures [106.],lvl2
PR107,Extracorporeal lithotripsy; urinary,main
PR-10.6,Extracorporeal lithotripsy; urinary [107.],lvl2
PR108,Indwelling catheter,main
PR-10.7,Indwelling catheter [108.],lvl2
PR109,Procedures on the urethra,main
PR-10.8,Procedures on the urethra [109.],lvl2
PR11,Diagnostic endocrine procedures,main
PR-2.2,Diagnostic endocrine procedures [11.],lvl2
PR110,Other diagnostic procedures of urinary tract,main
PR-10.9,Other diagnostic procedures of urinary tract [110.],lvl2
PR111,Other non-OR therapeutic procedures of urinary tract,main
PR-10.10,Other non-OR therapeutic procedures of urinary tract [111.],lvl2
PR112,Other OR therapeutic procedures of urinary tract,main
PR-10.11,Other OR therapeutic procedures of urinary tract [112.],lvl2
PR113,Transurethral resection of prostate (TURP),main
PR-11,Operations on the male genital organs,lvl1
PR-11.1,Transurethral resection of prostate (TURP) [113.],lvl2
PR114,Open prostatectomy,main
PR-11.2,Open prostatectomy [114.],lvl2
PR115,Circumcision,main
PR-11.3,Circumcision [115.],lvl2
PR116,Diagnostic procedures; male genital,main
PR-11.4,Diagnostic procedures; male genital [116.],lvl2
PR117,Other non-OR therapeutic procedures; male genital,main
PR-11.5,Other non-OR therapeutic procedures; male genital [117.],lvl2
PR118,Other OR therapeutic procedures; male genital,main
PR-11.6,Other OR therapeutic procedures; male genital [118.],lvl2
PR119,Oophorectomy; unilateral and bilateral,main
PR-12,Operations on the female genital organs,lvl1
PR-12.1,Oophorectomy; unilateral and bilateral [119.],lvl2
PR12,Therapeutic endocrine procedures,main
PR-2.3,Other therapeutic endocrine procedures [12.],lvl2
PR120,Other operations on ovary,main
PR-12.2,Other operations on ovary [120.],lvl2
PR121,Ligation or occlusion of fallopian tubes,main
PR-12.3,Ligation of fallopian tubes [121.],lvl2
PR122,Removal of ectopic pregnancy,main
PR-13,Obstetrical procedures,lvl1
PR-13.10,Removal of ectopic pregnancy [122.],lvl2
PR123,Other operations on fallopian tubes,main
PR-12.4,Other operations on fallopian tubes [123.],lvl2
PR124,Hysterectomy; abdominal and vaginal,main
PR-12.5,Hysterectomy; abdominal and vaginal [124.],lvl2
PR125,Other excision of cervix and uterus,main
PR-12.6,Other excision of cervix and uterus [125.],lvl2
PR126,Abortion (termination of pregnancy),main
PR-12.7,Abortion (termination of pregnancy) [126.],lvl2
PR127,Dilation and curettage (D&C),main
PR-12.8,Dilatation and curettage (D&C); aspiration after delivery or abortion [127.],lvl2
PR128,Diagnostic dilatation and curettage (D&C),main
PR-12.9,Diagnostic dilatation and curettage (D&C) [128.],lvl2
PR129,Repair of cystocele and rectocele; obliteration of vaginal vault,main
PR-12.10,Repair of cystocele and rectocele; obliteration of vaginal vault [129.],lvl2
PR13,Corneal transplant,main
PR-3,Operations on the eye,lvl1
PR-3.1,Corneal transplant [13.],lvl2
PR130,Other diagnostic procedures; female organs,main
PR-12.11,Other diagnostic procedures; female organs [130.],lvl2
PR131,Other non-OR therapeutic procedures; female organs,main
PR-12.12,Other non-OR therapeutic procedures; female organs [131.],lvl2
PR132,Other OR therapeutic procedures; female organs,main
PR-12.13,Other OR therapeutic procedures; female organs [132.],lvl2
PR133,Episiotomy,main
PR-13.1,Episiotomy [133.],lvl2
PR134,Cesarean section,main
PR-13.2,Cesarean section [134.],lvl2
PR135,Forceps; vacuum; and breech delivery,main
PR-13.3,Forceps; vacuum; and breech delivery [135.],lvl2
PR136,Artificial rupture of membranes to assist delivery,main
PR-13.4,Artificial rupture of membranes to assist delivery [136.],lvl2
PR137,Other procedures to assist delivery,main
PR-13.5,Other procedures to assist delivery [137.],lvl2
PR138,Diagnostic amniocentesis,main
PR-13.6,Diagnostic amniocentesis [138.],lvl2
PR139,Fetal measurement and monitoring,main
PR-13.7,Fetal monitoring [139.],lvl2
PR14,Procedures typically performed for glaucoma,main
PR-3.2,Glaucoma procedures [14.],lvl2
PR141,Other therapeutic obstetrical procedures,main
PR-13.9,Other therapeutic obstetrical procedures [141.],lvl2
PR142,Partial excision bone,main
PR-14,Operations on the musculoskeletal system,lvl1
PR-14.1,Partial excision bone [142.],lvl2
PR144,Fracture treatment including reposition with or without fixation; facial fracture or dislocation,main
PR-14.3,Treatment of fracture or dislocation,lvl2
PR145,Fracture treatment including reposition with or without fixation; radius or ulna fracture or dislocation,main
PR146,Fracture treatment including reposition with or without fixation; hip or femur fracture or dislocation,main
PR147,Fracture treatment including reposition with or without fixation; lower extremity fracture or dislocation (other than hip or femur),main
PR148,Fracture treatment including reposition with or without fixation of other fracture or or dislocation,main
PR149,Arthroscopy,main
PR-14.4,Arthroscopy [149.],lvl2
PR15,Lens and cataract procedures,main
PR-3.3,Lens and cataract procedures [15.],lvl2
PR150,Division or release of joint capsule; ligament or cartilage,main
PR-14.5,Division of joint capsule; ligament or cartilage [150.],lvl2
PR152,Arthroplasty knee,main
PR-14.7,Arthroplasty,lvl2
PR153,Hip replacement; total and partial,main
PR154,Arthroplasty other than hip or knee,main
PR155,Arthrocentesis,main
