I10_PR,CCS,CCS_lvl1,CCS_lvl2
00800ZZ,PR1,PR-1,PR-1.1
00803ZZ,PR1,PR-1,PR-1.1
00804ZZ,PR1,PR-1,PR-1.1
00870ZZ,PR1,PR-1,PR-1.1
00873ZZ,PR1,PR-1,PR-1.1
00874ZZ,PR1,PR-1,PR-1.1
00880ZZ,PR1,PR-1,PR-1.1
00883ZZ,PR1,PR-1,PR-1.1
00884ZZ,PR1,PR-1,PR-1.1
008F0ZZ,PR1,PR-1,PR-1.1
008F3ZZ,PR1,PR-1,PR-1.1
008F4ZZ,PR1,PR-1,PR-1.1
008G0ZZ,PR1,PR-1,PR-1.1
008G3ZZ,PR1,PR-1,PR-1.1
008G4ZZ,PR1,PR-1,PR-1.1
008H0ZZ,PR1,PR-1,PR-1.1
008H3ZZ,PR1,PR-1,PR-1.1
008H4ZZ,PR1,PR-1,PR-1.1
008J0ZZ,PR1,PR-1,PR-1.1
008J3ZZ,PR1,PR-1,PR-1.1
008J4ZZ,PR1,PR-1,PR-1.1
008K0ZZ,PR1,PR-1,PR-1.1
008K3ZZ,PR1,PR-1,PR-1.1
008K4ZZ,PR1,PR-1,PR-1.1
008L0ZZ,PR1,PR-1,PR-1.1
008L3ZZ,PR1,PR-1,PR-1.1
008L4ZZ,PR1,PR-1,PR-1.1
008M0ZZ,PR1,PR-1,PR-1.1
008M3ZZ,PR1,PR-1,PR-1.1
008M4ZZ,PR1,PR-1,PR-1.1
008N0ZZ,PR1,PR-1,PR-1.1
008N3ZZ,PR1,PR-1,PR-1.1
008N4ZZ,PR1,PR-1,PR-1.1
008P0ZZ,PR1,PR-1,PR-1.1
008P3ZZ,PR1,PR-1,PR-1.1
008P4ZZ,PR1,PR-1,PR-1.1
008Q0ZZ,PR1,PR-1,PR-1.1
008Q3ZZ,PR1,PR-1,PR-1.1
008Q4ZZ,PR1,PR-1,PR-1.1
008R0ZZ,PR1,PR-1,PR-1.1
008R3ZZ,PR1,PR-1,PR-1.1
008R4ZZ,PR1,PR-1,PR-1.1
008S0ZZ,PR1,PR-1,PR-1.1
008S3ZZ,PR1,PR-1,PR-1.1
008S4ZZ,PR1,PR-1,PR-1.1
009000Z,PR1,PR-1,PR-1.1
00900ZZ,PR1,PR-1,PR-1.1
009030Z,PR1,PR-1,PR-1.1
00903ZZ,PR1,PR-1,PR-1.1
009040Z,PR1,PR-1,PR-1.1
00904ZZ,PR1,PR-1,PR-1.1
009100Z,PR1,PR-1,PR-1.1
00910ZZ,PR1,PR-1,PR-1.1
009130Z,PR1,PR-1,PR-1.1
00913ZZ,PR1,PR-1,PR-1.1
009140Z,PR1,PR-1,PR-1.1
00914ZZ,PR1,PR-1,PR-1.1
009200Z,PR1,PR-1,PR-1.1
00920ZZ,PR1,PR-1,PR-1.1
009230Z,PR1,PR-1,PR-1.1
00923ZZ,PR1,PR-1,PR-1.1
009240Z,PR1,PR-1,PR-1.1
00924ZZ,PR1,PR-1,PR-1.1
009300Z,PR1,PR-1,PR-1.1
00930ZZ,PR1,PR-1,PR-1.1
009330Z,PR1,PR-1,PR-1.1
00933ZZ,PR1,PR-1,PR-1.1
009340Z,PR1,PR-1,PR-1.1
00934ZZ,PR1,PR-1,PR-1.1
009400Z,PR1,PR-1,PR-1.1
00940ZZ,PR1,PR-1,PR-1.1
009430Z,PR1,PR-1,PR-1.1
00943ZZ,PR1,PR-1,PR-1.1
009440Z,PR1,PR-1,PR-1.1
00944ZZ,PR1,PR-1,PR-1.1
009500Z,PR1,PR-1,PR-1.1
00950ZZ,PR1,PR-1,PR-1.1
009530Z,PR1,PR-1,PR-1.1
00953ZZ,PR1,PR-1,PR-1.1
009540Z,PR1,PR-1,PR-1.1
00954ZZ,PR1,PR-1,PR-1.1
009600Z,PR1,PR-1,PR-1.1
00960ZZ,PR1,PR-1,PR-1.1
009630Z,PR1,PR-1,PR-1.1
00963ZZ,PR1,PR-1,PR-1.1
009640Z,PR1,PR-1,PR-1.1
00964ZZ,PR1,PR-1,PR-1.1
009700Z,PR1,PR-1,PR-1.1
00970ZZ,PR1,PR-1,PR-1.1
009730Z,PR1,PR-1,PR-1.1
00973ZZ,PR1,PR-1,PR-1.1
009740Z,PR1,PR-1,PR-1.1
00974ZZ,PR1,PR-1,PR-1.1
009800Z,PR1,PR-1,PR-1.1
00980ZZ,PR1,PR-1,PR-1.1
009830Z,PR1,PR-1,PR-1.1
00983ZZ,PR1,PR-1,PR-1.1
009840Z,PR1,PR-1,PR-1.1
00984ZZ,PR1,PR-1,PR-1.1
009900Z,PR1,PR-1,PR-1.1
00990ZZ,PR1,PR-1,PR-1.1
009930Z,PR1,PR-1,PR-1.1
00993ZZ,PR1,PR-1,PR-1.1
009940Z,PR1,PR-1,PR-1.1
00994ZZ,PR1,PR-1,PR-1.1
009A00Z,PR1,PR-1,PR-1.1
009A0ZZ,PR1,PR-1,PR-1.1
009A30Z,PR1,PR-1,PR-1.1
