I9_PR,CCS,CCS_lvl1,CCS_lvl2,CCS_lvl3
0101,PR1,PR-1,PR-1.1,PR-1.1.3
0109,PR1,PR-1,PR-1.1,PR-1.1.3
0121,PR1,PR-1,PR-1.1,PR-1.1.1
0122,PR1,PR-1,PR-1.1,PR-1.1.1
0123,PR1,PR-1,PR-1.1,PR-1.1.1
0124,PR1,PR-1,PR-1.1,PR-1.1.1
0125,PR1,PR-1,PR-1.1,PR-1.1.1
0126,PR1,PR-1,PR-1.1,PR-1.1.3
0127,PR1,PR-1,PR-1.1,PR-1.1.3
0128,PR1,PR-1,PR-1.1,PR-1.1.3
0131,PR1,PR-1,PR-1.1,PR-1.1.2
0132,PR1,PR-1,PR-1.1,PR-1.1.3
0139,PR1,PR-1,PR-1.1,PR-1.1.3
0141,PR1,PR-1,PR-1.1,PR-1.1.3
0142,PR1,PR-1,PR-1.1,PR-1.1.3
0151,PR1,PR-1,PR-1.1,PR-1.1.3
0152,PR1,PR-1,PR-1.1,PR-1.1.3
0153,PR1,PR-1,PR-1.1,PR-1.1.3
0159,PR1,PR-1,PR-1.1,PR-1.1.3
0231,PR2,PR-1,PR-1.2,NA
0232,PR2,PR-1,PR-1.2,NA
0233,PR2,PR-1,PR-1.2,NA
0234,PR2,PR-1,PR-1.2,NA
0235,PR2,PR-1,PR-1.2,NA
0239,PR2,PR-1,PR-1.2,NA
0242,PR2,PR-1,PR-1.2,NA
0243,PR2,PR-1,PR-1.2,NA
0302,PR3,PR-1,PR-1.3,PR-1.3.2
0309,PR3,PR-1,PR-1.3,PR-1.3.2
805,PR3,PR-1,PR-1.3,PR-1.3.1
8050,PR3,PR-1,PR-1.3,PR-1.3.1
8051,PR3,PR-1,PR-1.3,PR-1.3.1
8059,PR3,PR-1,PR-1.3,PR-1.3.1
8459,PR3,PR-1,PR-1.3,PR-1.3.2
8460,PR3,PR-1,PR-1.3,PR-1.3.2
8461,PR3,PR-1,PR-1.3,PR-1.3.2
8462,PR3,PR-1,PR-1.3,PR-1.3.2
8463,PR3,PR-1,PR-1.3,PR-1.3.2
8464,PR3,PR-1,PR-1.3,PR-1.3.2
8465,PR3,PR-1,PR-1.3,PR-1.3.2
8466,PR3,PR-1,PR-1.3,PR-1.3.2
8467,PR3,PR-1,PR-1.3,PR-1.3.2
8468,PR3,PR-1,PR-1.3,PR-1.3.2
8469,PR3,PR-1,PR-1.3,PR-1.3.2
8480,PR3,PR-1,PR-1.3,PR-1.3.2
8481,PR3,PR-1,PR-1.3,PR-1.3.2
8482,PR3,PR-1,PR-1.3,PR-1.3.2
8483,PR3,PR-1,PR-1.3,PR-1.3.2
8484,PR3,PR-1,PR-1.3,PR-1.3.2
8485,PR3,PR-1,PR-1.3,PR-1.3.2
0331,PR4,PR-1,PR-1.4,NA
038,PR5,PR-1,PR-1.5,NA
0390,PR5,PR-1,PR-1.5,NA
0391,PR5,PR-1,PR-1.5,NA
0392,PR5,PR-1,PR-1.5,NA
0393,PR5,PR-1,PR-1.5,NA
0394,PR5,PR-1,PR-1.5,NA
0443,PR6,PR-1,PR-1.6,PR-1.6.1
0444,PR6,PR-1,PR-1.6,PR-1.6.2
0449,PR6,PR-1,PR-1.6,PR-1.6.2
0111,PR7,PR-1,PR-1.7,NA
0112,PR7,PR-1,PR-1.7,NA
0113,PR7,PR-1,PR-1.7,NA
0114,PR7,PR-1,PR-1.7,NA
0115,PR7,PR-1,PR-1.7,NA
0118,PR7,PR-1,PR-1.7,NA
0119,PR7,PR-1,PR-1.7,NA
0332,PR7,PR-1,PR-1.7,NA
0339,PR7,PR-1,PR-1.7,NA
0411,PR7,PR-1,PR-1.7,NA
0412,PR7,PR-1,PR-1.7,NA
0419,PR7,PR-1,PR-1.7,NA
0511,PR7,PR-1,PR-1.7,NA
0519,PR7,PR-1,PR-1.7,NA
0102,PR8,PR-1,PR-1.8,NA
0241,PR8,PR-1,PR-1.8,NA
0295,PR8,PR-1,PR-1.8,NA
0321,PR8,PR-1,PR-1.8,NA
0395,PR8,PR-1,PR-1.8,NA
0396,PR8,PR-1,PR-1.8,NA
0480,PR8,PR-1,PR-1.8,NA
0481,PR8,PR-1,PR-1.8,NA
0489,PR8,PR-1,PR-1.8,NA
0531,PR8,PR-1,PR-1.8,NA
0532,PR8,PR-1,PR-1.8,NA
0539,PR8,PR-1,PR-1.8,NA
0120,PR9,PR-1,PR-1.9,NA
0129,PR9,PR-1,PR-1.9,NA
016,PR9,PR-1,PR-1.9,NA
0201,PR9,PR-1,PR-1.9,NA
0202,PR9,PR-1,PR-1.9,NA
0203,PR9,PR-1,PR-1.9,NA
0204,PR9,PR-1,PR-1.9,NA
0205,PR9,PR-1,PR-1.9,NA
0206,PR9,PR-1,PR-1.9,NA
0207,PR9,PR-1,PR-1.9,NA
0211,PR9,PR-1,PR-1.9,NA
0212,PR9,PR-1,PR-1.9,NA
0213,PR9,PR-1,PR-1.9,NA
0214,PR9,PR-1,PR-1.9,NA
022,PR9,PR-1,PR-1.9,NA
0221,PR9,PR-1,PR-1.9,NA
0222,PR9,PR-1,PR-1.9,NA
0291,PR9,PR-1,PR-1.9,NA
0292,PR9,PR-1,PR-1.9,NA
0293,PR9,PR-1,PR-1.9,NA
0294,PR9,PR-1,PR-1.9,NA
0296,PR9,PR-1,PR-1.9,NA
0299,PR9,PR-1,PR-1.9,NA
0301,PR9,PR-1,PR-1.9,NA
031,PR9,PR-1,PR-1.9,NA
0329,PR9,PR-1,PR-1.9,NA
034,PR9,PR-1,PR-1.9,NA
0351,PR9,PR-1,PR-1.9,NA
0352,PR9,PR-1,PR-1.9,NA
0353,PR9,PR-1,PR-1.9,NA
0359,PR9,PR-1,PR-1.9,NA
036,PR9,PR-1,PR-1.9,NA
0371,PR9,PR-1,PR-1.9,NA
0372,PR9,PR-1,PR-1.9,NA
0379,PR9,PR-1,PR-1.9,NA
0397,PR9,PR-1,PR-1.9,NA
0398,PR9,PR-1,PR-1.9,NA
0399,PR9,PR-1,PR-1.9,NA
0401,PR9,PR-1,PR-1.9,NA
0402,PR9,PR-1,PR-1.9,NA
0403,PR9,PR-1,PR-1.9,NA
0404,PR9,PR-1,PR-1.9,NA
0405,PR9,PR-1,PR-1.9,NA
0406,PR9,PR-1,PR-1.9,NA
0407,PR9,PR-1,PR-1.9,NA
042,PR9,PR-1,PR-1.9,NA
043,PR9,PR-1,PR-1.9,NA
0441,PR9,PR-1,PR-1.9,NA
0442,PR9,PR-1,PR-1.9,NA
045,PR9,PR-1,PR-1.9,NA
