I9_PR,I9_PR_desc,proc_class
0001,THERAP ULTRASOUND OF HEAD AN (Begin 2002),Minor Therapeutic
0002,THERAPEUTIC ULTRASOUND OF HE (Begin 2002),Minor Therapeutic
0003,THERAP ULTRASOUND PERIPHRL V (Begin 2002),Minor Therapeutic
0009,OTHER THERAPEUTIC ULTRASOUND (Begin 2002),Minor Therapeutic
0010,IMPLANTATION OF CHEMOTHERAPE (Begin 2002),Minor Therapeutic
0011,INFUSION DROTRECOGIN ALFA (A (Begin 2002),Minor Therapeutic
0012,ADMINISTRATION OF INHALED NI (Begin 2002),Minor Therapeutic
0013,INJECTION OR INFUSION OF NES (Begin 2002),Minor Therapeutic
0014,INJECT/INFUS OF OXAZOLIDINON (Begin 2002),Minor Therapeutic
0015,HIGH-DOSE INFUSION IL-2 (Begin 2003),Minor Therapeutic
0016,PRESSURIZED TREAT GRAFT (Begin 2004),Minor Therapeutic
0017,INFUSION OF VASOPRESSOR (Begin 2004),Minor Therapeutic
0018,INFUS IMMUNOSUP ANTIBODY (Begin 2005),Minor Therapeutic
0019,BBBD VIA INFUSION (Begin 2007),Minor Therapeutic
0021,IVUS EXTRACRAN CEREB VES (Begin 2004),Minor Diagnostic
0022,IVUS INTRATHORACIC VES (Begin 2004),Minor Diagnostic
0023,IVUS PERIPHERAL VESSELS (Begin 2004),Minor Diagnostic
0024,IVUS CORONARY VESSELS (Begin 2004),Minor Diagnostic
0025,IVUS RENAL VESSELS (Begin 2004),Minor Diagnostic
0028,INTRAVASCUL IMAGING NEC (Begin 2004),Minor Diagnostic
0029,INTRAVASCUL IMAGING NOS (Begin 2004),Minor Diagnostic
0031,CAS W CT/CTA (Begin 2004),Minor Diagnostic
0032,CAS W MR/MRA (Begin 2004),Minor Diagnostic
0033,CAS W FLUOROSCOPY (Begin 2004),Minor Diagnostic
0034,IMAGELESS COMP ASST SURG (Begin 2004),Minor Diagnostic
0035,CAS W MULTIPLE DATASETS (Begin 2004),Minor Diagnostic
0039,OTHER CAS (Begin 2004),Minor Diagnostic
0040,PROCEDUREONE VESSEL (Begin 2005),Minor Therapeutic
0041,PROCEDURETWO VESSELS (Begin 2005),Minor Therapeutic
0042,PROCEDURETHREE VESSELS (Begin 2005),Minor Therapeutic
0043,PROCEDUREFOUR+ VESSELS (Begin 2005),Minor Therapeutic
0044,PROC-VESSEL BIFURCATION  (Begin 2006),Minor Therapeutic
0045,INSERT 1 VASCULAR STENT (Begin 2005),Minor Therapeutic
0046,INSERT 2 VASCULAR STENTS (Begin 2005),Minor Therapeutic
0047,INSERT 3 VASCULAR STENTS (Begin 2005),Minor Therapeutic
0048,INSERT 4+ VASCULR STENTS (Begin 2005),Minor Therapeutic
0049,SUPERSAT O2 THERAPY (begin 2008),Minor Therapeutic
0050,IMPLA RESYNCHR PACEMAKER W/0 (Begin 2002),Major Therapeutic
0051,IMPLA RESYNCHRONIZATION DEFI (Begin 2002),Major Therapeutic
0052,IMPL/REPL TRANSVENOUS LEAD L (Begin 2002),Major Therapeutic
0053,IMPL/REPL PACEMAKER PLSE GE (Begin 2002),Major Therapeutic
0054,IMPL/REPL DEFIBRIL GENERATOR (Begin 2002),Major Therapeutic
0055,INSERT DRUGELUTING NONCRNRY (Begin 2002),Minor Therapeutic
0056,INS/REP IMPL SENSOR LEAD (Begin 2006),Major Therapeutic
0057,IMP/REP SUBCUE CARD DEV  (Begin 2006),Major Therapeutic
0058,INS INTRA-ANSM PRES MNTR (begin 2008),Minor Diagnostic
0059,INTRAVASC MSMNT COR ART (begin 2008),Minor Diagnostic
0060,INS D-E STNT SUP FEM ART (Begin 2010),Minor Therapeutic
0061,PERC ANGIO PRECEREB VESS (Begin 2004),Major Therapeutic
0062,PERC ANGIO INTRACRAN VES (Begin 2004),Major Therapeutic
0063,PERC INS CAROTID STENT (Begin 2004),Minor Therapeutic
0064,PERC INS PRECEREB STENT (Begin 2004),Minor Therapeutic
0065,PERC INS INTRACRAN STENT (Begin 2004),Minor Therapeutic
